ModificationID,InventoryID,OrderItemID,Quantity,Cost
105,28,241,1,0.25
106,2,246,1,0.25
107,10,247,1,0.25
108,7,251,1,0.25
109,31,252,1,0.25
110,31,252,1,1
111,14,255,1,0.25
112,21,257,1,0.25
113,21,257,1,1
114,7,258,1,0.25
115,7,258,1,1
116,14,261,1,0.25
117,22,262,1,1
118,11,263,1,0.25
119,11,264,1,0.25
120,32,265,1,0.25
121,32,265,1,1
122,8,267,1,1
123,6,269,1,1
124,3,270,1,1
125,1,273,1,0.25
126,1,273,1,1
127,8,275,1,0.25
128,8,275,1,1
129,12,278,1,0.25
130,12,278,1,1
131,10,283,1,0.25
132,10,283,1,1
133,32,288,1,0.25
134,16,292,1,1
135,18,293,1,1
136,23,295,1,1
137,25,298,1,1
138,30,305,1,0.25
139,16,307,1,0.25
140,15,311,1,1
141,13,316,1,0.25
142,8,319,1,0.25
143,32,320,1,1
144,6,321,1,1
145,5,324,1,1
146,16,325,1,0.25
147,19,326,1,0.25
148,20,330,1,1
149,10,332,1,0.25
150,10,332,1,1
151,25,338,1,1
152,17,343,1,0.25
153,17,343,1,1
154,3,344,1,0.25
155,2,349,1,0.25
156,3,357,1,1
157,15,358,1,1
158,33,360,1,1
159,23,363,1,0.25
160,14,368,1,0.25
161,27,369,1,0.25
162,27,369,1,1
163,13,371,1,0.25
164,13,371,1,1
165,17,372,1,1
166,6,373,1,0.25
167,1,384,1,1
168,29,386,1,1
169,21,387,1,1
170,33,392,1,0.25
171,15,394,1,0.25
172,5,395,1,1
173,18,397,1,1
174,25,400,1,1
175,30,404,1,1
176,15,406,1,0.25
177,3,408,1,0.25
178,22,410,1,0.25
179,19,411,1,1
180,24,412,1,1
181,16,414,1,1
182,7,420,1,0.25
183,7,421,1,0.25
184,7,423,1,1
185,6,427,1,1
186,5,429,1,1
187,26,430,1,0.25
188,19,431,1,1
189,12,432,1,0.25
190,16,433,1,1
191,16,434,1,0.25
192,20,435,1,0.25
193,13,437,1,1
194,25,438,1,1
195,20,445,1,1
196,12,446,1,1
197,20,449,1,1
198,24,452,1,0.25
199,19,456,1,1
200,28,458,1,1
201,4,461,1,0.25
202,30,463,1,1
203,27,467,1,1
204,16,468,1,0.25
205,30,469,1,1
206,19,470,1,1
207,6,472,1,0.25
208,6,472,1,1
209,20,475,1,1
210,13,476,1,0.25
211,20,478,1,0.25
212,11,479,1,0.25
213,11,479,1,1
214,13,482,1,0.25
215,12,485,1,1
216,18,496,1,1
217,6,497,1,0.25
218,28,498,1,0.25
219,13,501,1,0.25
220,31,502,1,0.25
221,4,503,1,0.25
222,30,504,1,1
223,32,505,1,0.25
224,12,512,1,0.25
225,17,513,1,1
226,14,514,1,0.25
227,14,515,1,0.25
228,5,517,1,0.25
229,20,519,1,1
230,26,521,1,0.25
231,26,521,1,1
232,8,524,1,0.25
233,23,527,1,1
234,30,528,1,0.25
235,30,528,1,1
236,10,529,1,0.25
237,10,529,1,1
238,31,530,1,0.25
239,1,531,1,1
240,13,532,1,1
241,19,536,1,1
242,21,542,1,0.25
243,33,543,1,0.25
244,29,546,1,1
245,6,547,1,0.25
246,9,554,1,1
247,27,557,1,1
248,3,559,1,1
249,25,561,1,0.25
250,25,561,1,1
251,21,564,1,0.25
252,21,565,1,1
253,17,566,1,0.25
254,17,566,1,1
255,14,571,1,1
256,14,573,1,1
257,29,574,1,1
258,5,577,1,0.25
259,11,578,1,1
260,29,579,1,1
261,2,580,1,0.25
262,2,580,1,1
263,9,581,1,0.25
264,32,588,1,1
265,9,589,1,1
266,10,591,1,0.25
267,10,591,1,1
268,22,593,1,1
269,17,595,1,0.25
270,17,595,1,1
271,4,600,1,1
272,9,609,1,0.25
273,24,610,1,1
274,32,611,1,0.25
275,32,611,1,1
276,33,613,1,0.25
277,13,616,1,0.25
278,13,616,1,1
279,32,617,1,1
280,31,619,1,0.25
281,33,621,1,0.25
282,33,621,1,1
283,18,624,1,1
284,24,627,1,1
285,16,628,1,1
286,17,636,1,0.25
287,27,638,1,0.25
288,31,640,1,1
289,29,641,1,1
290,21,644,1,0.25
291,14,645,1,1
292,20,646,1,1
293,11,648,1,1
294,15,649,1,0.25
295,30,652,1,0.25
296,30,652,1,1
297,20,656,1,0.25
298,20,656,1,1
299,19,658,1,1
300,4,662,1,1
301,3,663,1,0.25
302,3,663,1,1
303,7,664,1,1
304,13,665,1,1
305,9,668,1,0.25
306,13,670,1,0.25
307,13,670,1,1
308,22,671,1,1
309,19,672,1,0.25
310,29,674,1,1
311,29,675,1,1
312,29,676,1,1
313,32,677,1,0.25
314,5,679,1,0.25
315,29,681,1,1
316,13,684,1,0.25
317,9,685,1,0.25
318,23,688,1,1
319,14,689,1,0.25
320,33,690,1,1
321,3,698,1,0.25
322,8,699,1,0.25
323,8,699,1,1
324,21,701,1,0.25
325,21,701,1,1
326,25,702,1,0.25
327,12,704,1,0.25
328,19,706,1,0.25
329,6,707,1,0.25
330,12,711,1,1
331,22,712,1,1
332,26,713,1,0.25
333,30,714,1,1
334,16,718,1,1
335,8,721,1,1
336,25,723,1,0.25
337,6,724,1,1
338,4,726,1,1
339,29,728,1,1
340,8,733,1,0.25
341,27,735,1,1
342,9,738,1,0.25
343,11,739,1,0.25
344,28,741,1,0.25
345,28,741,1,1
346,31,746,1,0.25
347,12,750,1,0.25
348,30,753,1,0.25
349,3,754,1,0.25
350,3,755,1,0.25
351,7,756,1,0.25
352,8,763,1,1
353,10,764,1,0.25
354,10,764,1,1
355,4,767,1,1
356,5,771,1,1
357,16,776,1,0.25
358,31,777,1,0.25
359,31,777,1,1
360,2,784,1,0.25
361,25,787,1,0.25
362,29,788,1,1
363,26,789,1,1
364,4,792,1,0.25
365,17,797,1,1
366,26,798,1,0.25
367,27,799,1,0.25
368,27,799,1,1
369,33,803,1,1
370,23,805,1,1
371,4,807,1,1
372,1,809,1,0.25
373,30,812,1,0.25
374,30,812,1,1
375,28,813,1,1
376,1,814,1,0.25
377,1,814,1,1
378,31,817,1,0.25
379,7,818,1,1
380,10,819,1,0.25
381,10,819,1,1
382,23,821,1,1
383,17,824,1,0.25
384,19,825,1,1
385,7,827,1,0.25
386,20,829,1,0.25
387,20,829,1,1
388,1,830,1,0.25
389,9,831,1,1
390,19,832,1,1
391,15,833,1,0.25
392,15,833,1,1
393,19,837,1,0.25
394,29,839,1,0.25
395,9,840,1,0.25
396,32,841,1,0.25
397,3,844,1,1
398,32,845,1,0.25
399,7,846,1,1
400,30,849,1,1
401,27,850,1,0.25
402,13,851,1,0.25
403,13,851,1,1
404,31,853,1,1
405,1,856,1,0.25
406,19,859,1,0.25
407,4,862,1,0.25
408,5,863,1,0.25
409,20,864,1,0.25
410,18,865,1,0.25
411,20,866,1,0.25
412,27,867,1,0.25
413,19,868,1,0.25
414,12,869,1,0.25
415,5,870,1,1
416,14,872,1,0.25
417,14,872,1,1
418,26,880,1,1
419,8,882,1,1
420,1,883,1,0.25
421,15,884,1,1
422,7,887,1,0.25
423,26,889,1,1
424,19,905,1,0.25
425,19,905,1,1
426,3,907,1,0.25
427,32,908,1,0.25
428,7,909,1,0.25
429,10,910,1,1
430,20,911,1,0.25
431,25,912,1,0.25
432,23,915,1,1
433,29,916,1,0.25
434,29,916,1,1
435,29,917,1,0.25
436,21,920,1,0.25
437,20,926,1,1
438,24,929,1,0.25
439,28,937,1,1
440,4,941,1,1
441,30,943,1,0.25
442,20,949,1,0.25
443,20,949,1,1
444,8,955,1,1
445,13,957,1,0.25
446,8,958,1,0.25
447,8,958,1,1
448,16,959,1,1
449,3,960,1,0.25
450,20,966,1,0.25
451,13,970,1,1
452,16,974,1,1
453,23,976,1,1
454,7,977,1,0.25
455,12,982,1,0.25
456,27,985,1,0.25
457,30,988,1,1
458,28,989,1,1
459,29,990,1,1
460,1,991,1,0.25
461,33,992,1,1
462,16,993,1,0.25
463,16,993,1,1
464,6,995,1,0.25
465,6,995,1,1
466,21,996,1,0.25
467,21,996,1,1
468,6,997,1,1
469,25,999,1,0.25
470,24,1000,1,1
471,22,1001,1,0.25
472,8,1003,1,0.25
473,18,1013,1,1
474,8,1017,1,0.25
475,28,1018,1,1
476,2,1019,1,0.25
477,33,1020,1,0.25
478,24,1021,1,1
479,1,1022,1,1
480,6,1023,1,0.25
481,1,1024,1,1
482,10,1029,1,1
483,25,1030,1,1
484,33,1032,1,0.25
485,33,1032,1,1
486,18,1035,1,0.25
487,5,1038,1,1
488,23,1039,1,1
489,23,1041,1,1
490,1,1047,1,1
491,31,1048,1,0.25
492,8,1050,1,0.25
493,30,1052,1,0.25
494,30,1052,1,1
495,11,1054,1,1
496,27,1055,1,1
497,32,1057,1,0.25
498,32,1057,1,1
499,2,1058,1,1
500,22,1059,1,1
501,27,1062,1,0.25
502,13,1067,1,0.25
503,11,1068,1,0.25
504,9,1070,1,0.25
505,13,1073,1,0.25
506,7,1075,1,1
507,5,1081,1,0.25
508,28,1082,1,0.25
509,10,1084,1,1
510,1,1090,1,1
511,31,1094,1,1
512,12,1096,1,0.25
513,21,1097,1,1
514,5,1099,1,1
515,20,1100,1,0.25
516,3,1102,1,0.25
517,3,1102,1,1
518,32,1103,1,0.25
519,32,1103,1,1
520,13,1104,1,0.25
521,9,1106,1,0.25
522,18,1112,1,0.25
523,18,1112,1,1
524,3,1113,1,0.25
525,13,1117,1,0.25
526,13,1117,1,1
527,9,1121,1,1
528,9,1123,1,0.25
529,1,1124,1,0.25
530,22,1125,1,1
531,22,1128,1,0.25
532,22,1128,1,1
533,10,1129,1,1
534,32,1134,1,1
535,9,1135,1,0.25
536,9,1135,1,1
537,27,1137,1,0.25
538,27,1139,1,1
539,12,1143,1,0.25
540,26,1148,1,0.25
541,23,1151,1,0.25
542,7,1152,1,0.25
543,23,1158,1,0.25
544,19,1159,1,1
545,12,1161,1,1
546,15,1162,1,0.25
547,9,1163,1,0.25
548,15,1166,1,0.25
549,13,1170,1,0.25
550,13,1170,1,1
551,31,1172,1,0.25
552,10,1173,1,0.25
553,24,1174,1,1
554,12,1176,1,0.25
555,2,1178,1,0.25
556,21,1185,1,1
557,14,1188,1,1
558,23,1190,1,1
559,18,1192,1,0.25
560,7,1202,1,1
561,14,1207,1,1
562,28,1208,1,0.25
563,30,1209,1,0.25
564,33,1211,1,1
565,5,1212,1,1
566,31,1216,1,1
567,30,1217,1,0.25
568,9,1219,1,1
569,11,1220,1,1
570,29,1221,1,0.25
571,13,1222,1,0.25
572,2,1226,1,0.25
573,11,1227,1,1
574,3,1229,1,0.25
575,9,1231,1,1
576,20,1235,1,1
577,5,1237,1,1
578,19,1239,1,0.25
579,19,1239,1,1
580,31,1240,1,1
581,33,1243,1,1
582,9,1245,1,1
583,7,1247,1,1
584,15,1249,1,1
585,15,1252,1,0.25
586,15,1252,1,1
587,14,1254,1,1
588,29,1258,1,1
589,9,1260,1,1
590,29,1264,1,1
591,11,1265,1,1
592,9,1267,1,0.25
593,21,1270,1,0.25
594,28,1271,1,1
595,4,1272,1,0.25
596,12,1276,1,1
597,17,1278,1,1
598,27,1279,1,0.25
599,27,1279,1,1
600,8,1281,1,0.25
601,6,1282,1,1
602,6,1285,1,1
603,3,1286,1,1
604,4,1288,1,1
605,11,1289,1,1
606,31,1293,1,1
607,25,1295,1,1
608,11,1297,1,1
609,15,1301,1,0.25
610,2,1303,1,1
611,11,1304,1,0.25
612,26,1306,1,1
613,20,1307,1,1
614,18,1318,1,0.25
615,18,1321,1,0.25
616,18,1321,1,1
617,9,1322,1,0.25
618,9,1322,1,1
619,17,1325,1,0.25
620,29,1329,1,1
621,27,1331,1,0.25
622,1,1332,1,0.25
623,1,1332,1,1
624,28,1335,1,0.25
625,20,1338,1,0.25
626,8,1342,1,0.25
627,11,1343,1,1
628,27,1346,1,1
629,17,1352,1,0.25
630,17,1352,1,1
631,9,1354,1,0.25
632,30,1355,1,0.25
633,30,1355,1,1
634,3,1356,1,0.25
635,13,1358,1,1
636,12,1364,1,0.25
637,28,1367,1,0.25
638,28,1367,1,1
639,9,1373,1,0.25
640,33,1374,1,1
641,1,1376,1,0.25
642,4,1382,1,0.25
643,21,1385,1,0.25
644,28,1389,1,1
645,32,1391,1,1
646,14,1392,1,0.25
647,7,1395,1,0.25
648,23,1396,1,0.25
649,19,1401,1,0.25
650,19,1401,1,1
651,29,1405,1,0.25
652,28,1406,1,1
653,29,1408,1,0.25
654,11,1410,1,1
655,1,1413,1,1
656,25,1420,1,0.25
657,15,1422,1,0.25
658,18,1424,1,0.25
659,25,1425,1,1
660,25,1426,1,1
661,26,1428,1,1
662,5,1429,1,1
663,24,1430,1,1
664,1,1434,1,0.25
665,12,1436,1,0.25
666,12,1436,1,1
667,11,1438,1,1
668,25,1439,1,0.25
669,25,1439,1,1
670,6,1441,1,1
671,8,1445,1,0.25
672,25,1446,1,0.25
673,32,1448,1,1
674,30,1449,1,0.25
675,2,1455,1,1
676,3,1457,1,0.25
677,32,1459,1,0.25
678,10,1462,1,1
679,13,1465,1,0.25
680,31,1469,1,1
681,23,1471,1,0.25
682,23,1471,1,1
683,24,1472,1,0.25
684,19,1476,1,0.25
685,19,1476,1,1
686,28,1480,1,1
687,4,1481,1,0.25
688,27,1484,1,1
689,18,1486,1,1
690,29,1487,1,0.25
691,32,1489,1,0.25
692,28,1490,1,1
693,23,1492,1,1
694,17,1496,1,1
695,27,1498,1,1
696,9,1499,1,0.25
697,20,1501,1,1
698,30,1502,1,1
699,32,1507,1,0.25
700,19,1510,1,1
701,11,1511,1,1
702,8,1513,1,1
703,14,1515,1,0.25
704,4,1516,1,1
705,23,1526,1,0.25
706,29,1528,1,1
707,1,1529,1,1
708,18,1530,1,0.25
709,23,1531,1,1
710,21,1532,1,1
711,18,1539,1,0.25
712,18,1539,1,1
713,8,1540,1,1
714,3,1544,1,0.25
715,3,1544,1,1
716,22,1552,1,0.25
717,22,1552,1,1
718,18,1554,1,0.25
719,13,1555,1,1
720,9,1556,1,0.25
721,16,1559,1,0.25
722,28,1560,1,0.25
723,26,1561,1,0.25
724,26,1561,1,1
725,10,1564,1,1
726,19,1567,1,1
727,24,1570,1,0.25
728,14,1571,1,0.25
729,14,1572,1,0.25
730,2,1574,1,1
731,20,1577,1,1
732,24,1578,1,1
733,2,1580,1,0.25
734,2,1580,1,1
735,24,1582,1,1
736,16,1584,1,1
737,13,1585,1,0.25
738,9,1586,1,0.25
739,20,1590,1,1
740,30,1592,1,1
741,14,1593,1,1
742,14,1594,1,0.25
743,14,1594,1,1
744,9,1598,1,0.25
745,9,1598,1,1
746,24,1607,1,0.25
747,27,1608,1,0.25
748,27,1608,1,1
749,10,1615,1,0.25
750,2,1616,1,1
751,25,1617,1,0.25
752,25,1617,1,1
753,1,1619,1,1
754,19,1620,1,0.25
755,4,1623,1,0.25
756,4,1623,1,1
757,6,1624,1,0.25
758,27,1625,1,1
759,15,1628,1,0.25
760,15,1628,1,1
761,22,1630,1,0.25
762,22,1630,1,1
763,26,1631,1,0.25
764,1,1634,1,0.25
765,2,1635,1,0.25
766,32,1642,1,0.25
767,32,1642,1,1
768,25,1643,1,0.25
769,1,1648,1,0.25
770,1,1648,1,1
771,11,1649,1,0.25
772,11,1649,1,1
773,10,1650,1,1
774,21,1651,1,1
775,2,1652,1,1
776,21,1654,1,0.25
777,23,1656,1,1
778,23,1658,1,0.25
779,18,1660,1,0.25
780,2,1661,1,0.25
781,24,1663,1,0.25
782,24,1663,1,1
783,30,1664,1,1
784,20,1669,1,1
785,4,1671,1,1
786,23,1673,1,1
787,5,1674,1,0.25
788,19,1675,1,1
789,20,1676,1,1
790,33,1677,1,1
791,22,1678,1,0.25
792,32,1679,1,0.25
793,4,1680,1,0.25
794,18,1681,1,0.25
795,24,1682,1,0.25
796,16,1683,1,1
797,27,1688,1,0.25
798,8,1695,1,1
799,32,1697,1,0.25
800,32,1697,1,1
801,23,1704,1,0.25
802,8,1708,1,0.25
803,31,1713,1,1
804,6,1715,1,0.25
805,19,1726,1,1
806,16,1727,1,0.25
807,32,1729,1,1
808,24,1730,1,0.25
809,33,1731,1,0.25
810,33,1731,1,1
811,14,1735,1,0.25
812,27,1741,1,0.25
813,27,1741,1,1
814,12,1742,1,0.25
815,12,1742,1,1
816,3,1743,1,0.25
817,3,1743,1,1
818,29,1745,1,1
819,16,1749,1,0.25
820,3,1751,1,1
821,11,1753,1,0.25
822,30,1755,1,0.25
823,23,1758,1,1
824,13,1767,1,1
825,32,1768,1,1
826,8,1771,1,0.25
827,2,1772,1,1
828,19,1773,1,1
829,32,1776,1,1
830,20,1778,1,0.25
831,20,1778,1,1
832,19,1782,1,0.25
833,28,1783,1,1
834,7,1784,1,0.25
835,17,1786,1,0.25
836,17,1786,1,1
837,20,1787,1,0.25
838,31,1788,1,0.25
839,30,1792,1,1
840,23,1793,1,0.25
841,19,1796,1,1
842,27,1797,1,0.25
843,27,1797,1,1
844,1,1798,1,0.25
845,22,1800,1,1
846,30,1807,1,0.25
847,30,1807,1,1
848,28,1809,1,0.25
849,26,1812,1,1
850,26,1813,1,0.25
851,24,1815,1,0.25
852,33,1816,1,1
853,20,1820,1,0.25
854,11,1821,1,0.25
855,11,1821,1,1
856,27,1823,1,0.25
857,28,1824,1,0.25
858,28,1824,1,1
859,27,1828,1,0.25
860,27,1828,1,1
861,26,1829,1,0.25
862,9,1830,1,0.25
863,9,1830,1,1
864,20,1831,1,0.25
865,20,1831,1,1
866,29,1832,1,0.25
867,17,1837,1,0.25
868,11,1838,1,0.25
869,5,1839,1,0.25
870,5,1839,1,1
871,7,1841,1,0.25
872,20,1844,1,1
873,27,1845,1,1
874,26,1847,1,0.25
875,26,1847,1,1
876,19,1850,1,0.25
877,16,1851,1,0.25
878,16,1851,1,1
879,9,1855,1,0.25
880,9,1855,1,1
881,32,1856,1,1
882,8,1863,1,1
883,26,1864,1,1
884,32,1865,1,0.25
885,32,1865,1,1
886,32,1869,1,1
887,5,1871,1,1
888,2,1872,1,1
889,16,1874,1,0.25
890,16,1874,1,1
891,33,1877,1,0.25
892,33,1877,1,1
893,7,1878,1,1
894,13,1880,1,0.25
895,3,1883,1,1
896,31,1886,1,1
897,30,1887,1,0.25
898,14,1888,1,0.25
899,14,1888,1,1
900,11,1892,1,0.25
901,32,1893,1,1
902,11,1894,1,0.25
903,9,1895,1,0.25
904,9,1895,1,1
905,3,1896,1,0.25
906,8,1897,1,0.25
907,1,1898,1,0.25
908,13,1899,1,0.25
909,23,1904,1,0.25
910,16,1906,1,0.25
911,3,1907,1,0.25
912,24,1908,1,0.25
913,23,1912,1,0.25
914,23,1912,1,1
915,20,1914,1,1
916,33,1916,1,1
917,25,1918,1,1
918,18,1919,1,0.25
919,10,1920,1,0.25
920,31,1921,1,0.25
921,12,1922,1,0.25
922,23,1925,1,1
923,5,1926,1,1
924,10,1927,1,1
925,3,1929,1,1
926,16,1930,1,0.25
927,11,1932,1,1
928,28,1933,1,0.25
929,9,1935,1,1
930,26,1936,1,1
931,26,1937,1,0.25
932,26,1937,1,1
933,4,1940,1,1
934,21,1941,1,0.25
935,21,1941,1,1
936,14,1943,1,1
937,23,1945,1,1
938,6,1950,1,0.25
939,6,1950,1,1
940,31,1955,1,1
941,9,1956,1,0.25
942,29,1957,1,1
943,13,1958,1,1
944,4,1959,1,1
945,32,1961,1,1
946,11,1962,1,0.25
947,33,1963,1,0.25
948,8,1964,1,1
949,21,1965,1,0.25
950,4,1968,1,1
951,28,1970,1,0.25
952,28,1970,1,1
953,7,1971,1,1
954,3,1974,1,0.25
955,18,1975,1,0.25
956,18,1975,1,1
957,22,1976,1,1
958,21,1977,1,0.25
959,30,1978,1,1
960,23,1981,1,0.25
961,15,1983,1,0.25
962,5,1984,1,0.25
963,26,1985,1,0.25
964,16,1986,1,1
965,27,1987,1,1
966,32,1988,1,1
967,21,1989,1,1
968,4,1991,1,0.25
969,27,1992,1,1
970,16,1993,1,1
971,15,1994,1,1
972,12,1998,1,0.25
973,25,1999,1,0.25
974,25,1999,1,1
975,10,2001,1,1
976,3,2002,1,1
977,20,2004,1,1
978,3,2005,1,1
979,12,2010,1,1
980,27,2011,1,0.25
981,12,2013,1,0.25
982,12,2013,1,1
983,12,2018,1,1
984,32,2022,1,0.25
985,22,2023,1,0.25
986,29,2024,1,1
987,10,2028,1,0.25
988,18,2029,1,1
989,5,2030,1,1
990,29,2032,1,0.25
991,23,2033,1,1
992,29,2034,1,1
993,28,2035,1,1
994,30,2037,1,0.25
995,14,2040,1,1
996,13,2043,1,0.25
997,20,2045,1,1
998,26,2046,1,0.25
999,12,2048,1,1
1000,25,2049,1,1
1001,24,2050,1,1
1002,30,2051,1,1
1003,18,2052,1,1
1004,20,2054,1,1
1005,8,2055,1,1
1006,20,2057,1,0.25
1007,17,2062,1,0.25
1008,28,2063,1,1
1009,15,2065,1,1
1010,18,2066,1,0.25
1011,18,2069,1,0.25
1012,16,2071,1,1
1013,29,2074,1,0.25
1014,29,2074,1,1
1015,6,2075,1,0.25
1016,20,2079,1,0.25
1017,18,2082,1,1
1018,28,2083,1,1
1019,11,2084,1,1
1020,15,2085,1,1
1021,13,2087,1,1
1022,11,2090,1,1
1023,6,2091,1,0.25
1024,6,2091,1,1
1025,2,2094,1,0.25
1026,8,2095,1,0.25
1027,8,2095,1,1
1028,16,2096,1,0.25
1029,14,2097,1,1
1030,15,2098,1,0.25
1031,15,2098,1,1
1032,5,2101,1,0.25
1033,5,2101,1,1
1034,33,2104,1,1
1035,21,2107,1,0.25
1036,24,2109,1,0.25
1037,20,2110,1,1
1038,33,2112,1,1
1039,10,2114,1,0.25
1040,11,2115,1,0.25
1041,18,2116,1,1
1042,31,2119,1,0.25
1043,31,2119,1,1
1044,6,2122,1,0.25
1045,4,2123,1,1
1046,20,2125,1,0.25
1047,1,2128,1,0.25
1048,12,2131,1,1
1049,11,2135,1,1
1050,9,2136,1,1
1051,22,2139,1,1
1052,3,2141,1,0.25
1053,3,2141,1,1
1054,5,2144,1,0.25
1055,15,2145,1,0.25
1056,15,2145,1,1
1057,20,2146,1,0.25
1058,18,2149,1,0.25
1059,14,2151,1,1
1060,18,2154,1,1
1061,22,2158,1,0.25
1062,3,2160,1,1
1063,13,2161,1,0.25
1064,23,2162,1,1
1065,23,2164,1,0.25
1066,26,2165,1,0.25
1067,2,2169,1,1
1068,11,2171,1,0.25
1069,31,2179,1,1
1070,12,2182,1,0.25
1071,30,2188,1,0.25
1072,30,2190,1,1
1073,7,2191,1,0.25
1074,7,2191,1,1
1075,14,2192,1,0.25
1076,10,2194,1,1
1077,21,2195,1,1
1078,2,2197,1,1
1079,9,2198,1,1
1080,28,2199,1,1
1081,26,2201,1,1
1082,26,2202,1,0.25
1083,22,2203,1,0.25
1084,10,2204,1,1
1085,19,2205,1,0.25
1086,13,2208,1,0.25
1087,8,2212,1,0.25
1088,23,2213,1,0.25
1089,20,2215,1,1
1090,21,2218,1,1
1091,24,2219,1,0.25
1092,27,2220,1,0.25
1093,27,2220,1,1
1094,1,2224,1,1
1095,8,2225,1,0.25
1096,2,2226,1,0.25
1097,2,2226,1,1
1098,13,2228,1,0.25
1099,13,2228,1,1
1100,16,2231,1,0.25
1101,24,2234,1,0.25
1102,24,2234,1,1
1103,2,2235,1,1
1104,31,2238,1,0.25
1105,31,2238,1,1
1106,17,2239,1,0.25
1107,2,2242,1,1
1108,10,2244,1,1
1109,11,2245,1,0.25
1110,20,2246,1,0.25
1111,5,2251,1,0.25
1112,12,2252,1,0.25
1113,12,2252,1,1
1114,1,2254,1,0.25
1115,19,2258,1,0.25
1116,19,2258,1,1
1117,18,2261,1,0.25
1118,18,2261,1,1
1119,18,2262,1,1
1120,25,2270,1,1
1121,2,2272,1,0.25
1122,2,2272,1,1
1123,21,2276,1,0.25
1124,6,2277,1,0.25
1125,14,2279,1,0.25
1126,12,2280,1,0.25
1127,12,2280,1,1
1128,27,2285,1,1
1129,29,2287,1,0.25
1130,2,2291,1,0.25
1131,2,2291,1,1
1132,31,2295,1,0.25
1133,11,2296,1,1
1134,14,2297,1,0.25
1135,8,2298,1,1
1136,8,2304,1,0.25
1137,8,2304,1,1
1138,22,2305,1,0.25
1139,9,2308,1,0.25
1140,10,2309,1,0.25
1141,28,2311,1,0.25
1142,1,2313,1,1
1143,3,2315,1,0.25
1144,25,2317,1,0.25
1145,25,2317,1,1
1146,1,2319,1,1
1147,11,2320,1,0.25
1148,5,2321,1,0.25
1149,33,2322,1,0.25
1150,28,2323,1,1
1151,16,2326,1,1
1152,18,2328,1,1
1153,5,2337,1,1
1154,26,2338,1,0.25
1155,22,2339,1,0.25
1156,19,2342,1,0.25
1157,5,2344,1,0.25
1158,5,2344,1,1
1159,8,2349,1,1
1160,25,2350,1,0.25
1161,25,2351,1,1
1162,20,2352,1,1
1163,13,2357,1,1
1164,30,2359,1,0.25
1165,17,2360,1,1
1166,13,2361,1,1
1167,5,2367,1,1
1168,17,2369,1,0.25
1169,13,2370,1,0.25
1170,31,2371,1,0.25
1171,4,2372,1,1
1172,3,2374,1,0.25
1173,3,2374,1,1
1174,5,2378,1,0.25
1175,12,2380,1,1
1176,8,2381,1,1
1177,6,2386,1,0.25
1178,13,2387,1,0.25
1179,13,2387,1,1
1180,11,2389,1,0.25
1181,13,2390,1,1
1182,14,2391,1,0.25
1183,24,2393,1,1
1184,16,2394,1,0.25
1185,13,2395,1,1
1186,25,2396,1,1
